id,regiao,uf_regiao,cidade,sexo,faixa_etaria,data_abertura,data_resposta,data_finalizacao,prazo_resposta,sigla,nome_fantasia,problema,local_compra,situacao,avaliacao_reclamacao,nota_consumidor
885,CO,DF,Brasília,F,entre 41 a 50 anos,2021-12-07,2021-12-09,2021-12-30,2021-12-17,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
886,NE,PI,Teresina,M,entre 31 a 40 anos,2021-12-07,2021-12-15,2021-12-15,2021-12-17,AZU,Azul Linhas Aéreas,Cancelamento indevido da passagem de volta,Internet,Finalizada avaliada,Resolvida,5
887,CO,MS,Campo Grande,M,entre 61 a 70 anos,2021-10-04,2021-10-07,2021-10-07,2021-10-14,TAM,Latam Airlines (Tam),Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Não Resolvida,1
888,CO,DF,Brasília,F,entre 21 a 30 anos,2021-12-07,2021-12-14,2022-01-02,2021-12-17,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,4
889,S,RS,Porto Alegre,F,entre 31 a 40 anos,2021-12-07,2021-12-15,2021-12-27,2021-12-17,AZU,Azul Linhas Aéreas,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,Finalizada avaliada,Resolvida,5
890,CO,DF,Brasília,M,entre 31 a 40 anos,2021-10-04,2021-10-08,2021-10-26,2021-10-14,TAM,Latam Airlines (Tam),SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Resolvida,5
891,S,RS,Porto Alegre,M,entre 21 a 30 anos,2021-12-07,2021-12-30,2022-01-17,2021-12-30,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,1
892,CO,DF,Brasília,M,entre 51 a 60 anos,2021-12-07,2021-12-16,2022-01-04,2021-12-17,X06,Alitalia,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,1
893,CO,DF,Brasília,F,entre 51 a 60 anos,2021-10-04,2021-10-06,2021-10-15,2021-10-14,X19,TAP Air Portugal,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Não Resolvida,1
894,CO,DF,Brasília,F,entre 51 a 60 anos,2021-12-07,2021-12-13,2022-01-03,2021-12-17,AZU,Azul Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Loja física,Finalizada não avaliada,Não Avaliada,0
895,CO,DF,Brasília,M,entre 21 a 30 anos,2021-12-07,2021-12-08,2021-12-08,2021-12-17,X19,TAP Air Portugal,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
896,S,RS,Porto Alegre,M,entre 21 a 30 anos,2021-12-07,2021-12-15,2022-01-06,2021-12-17,X02,Aeromexico,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
897,N,AM,Manaus,F,entre 31 a 40 anos,2021-10-04,2021-10-07,2021-10-11,2021-10-14,AZU,Azul Linhas Aéreas,Informações incompletas / inadequadas sobre o serviço,Internet,Finalizada avaliada,Resolvida,3
898,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-07,2021-12-09,2021-12-09,2021-12-17,GLO,Gol Linhas Aéreas,Cancelamento de voo,Loja física,Finalizada avaliada,Não Resolvida,1
899,N,RR,Boa Vista,F,entre 31 a 40 anos,2021-12-07,2021-12-15,2022-01-05,2021-12-17,AZU,Azul Linhas Aéreas,Dificuldade / demora para cancelar o serviço,Internet,Finalizada não avaliada,Não Avaliada,0
900,N,PA,Ananindeua,M,entre 51 a 60 anos,2021-12-07,2021-12-09,2021-12-21,2021-12-17,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
901,NE,SE,Aracaju,F,entre 41 a 50 anos,2021-12-07,2021-12-13,2021-12-25,2021-12-17,TAM,Latam Airlines (Tam),SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Resolvida,5
902,N,AM,Manaus,M,entre 51 a 60 anos,2021-12-07,2021-12-09,2021-12-17,2021-12-17,GLO,Gol Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Não Resolvida,1
903,CO,DF,Brasília,M,entre 21 a 30 anos,2021-12-07,2021-12-10,2021-12-31,2021-12-17,GLO,Gol Linhas Aéreas,"Dificuldade para contratar o serviço (problema operacionais, acesso aos canais de venda etc)",Internet,Finalizada não avaliada,Não Avaliada,0
904,NE,RN,João Câmara,F,entre 21 a 30 anos,2021-12-07,2021-12-09,2021-12-30,2021-12-17,X19,TAP Air Portugal,SAC - Dificuldadede de contato / acesso,Internet,Finalizada não avaliada,Não Avaliada,0
905,S,RS,Igrejinha,M,entre 31 a 40 anos,2021-12-07,2021-12-16,2022-01-05,2021-12-17,X19,TAP Air Portugal,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Telefone,Finalizada avaliada,Não Resolvida,1
906,NE,PI,Teresina,M,entre 61 a 70 anos,2021-10-04,2021-10-07,2021-10-25,2021-10-14,TAM,Latam Airlines (Tam),"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",Internet,Finalizada avaliada,Não Resolvida,1
907,N,AM,Manaus,F,entre 31 a 40 anos,2021-12-07,2021-12-08,2021-12-21,2021-12-17,TAM,Latam Airlines (Tam),Dificuldade de acesso a dados pessoais ou financeiros,Internet,Finalizada avaliada,Resolvida,1
908,CO,DF,Brasília,F,entre 51 a 60 anos,2021-10-04,2021-10-06,2021-10-27,2021-10-14,X19,TAP Air Portugal,Dificuldade de contato / demora no atendimento,Internet,Finalizada não avaliada,Não Avaliada,0
909,CO,DF,Brasília,F,entre 21 a 30 anos,2021-12-07,2021-12-10,2021-12-31,2021-12-17,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
910,S,RS,Porto Alegre,F,entre 31 a 40 anos,2021-12-07,2021-12-13,2022-01-03,2021-12-17,TAM,Latam Airlines (Tam),SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada não avaliada,Não Avaliada,0
911,NE,PI,Teresina,M,entre 21 a 30 anos,2021-12-07,2021-12-16,2022-01-06,2021-12-17,X19,TAP Air Portugal,Alteração / rescisão de contrato sem solicitação / aviso prévio,Internet,Finalizada não avaliada,Não Avaliada,0
912,CO,DF,Brasília,M,entre 41 a 50 anos,2021-12-07,2021-12-10,2021-12-28,2021-12-17,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Resolvida,5
913,CO,DF,Brasília,F,entre 21 a 30 anos,2021-10-04,2021-10-11,2021-11-01,2021-10-14,GLO,Gol Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Internet,Finalizada não avaliada,Não Avaliada,0
914,NE,RN,Natal,M,entre 41 a 50 anos,2021-10-04,2021-10-11,2021-10-14,2021-10-14,GLO,Gol Linhas Aéreas,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada avaliada,Não Resolvida,1
