id,empresa_sigla,empresa_nome,ano,mes,sigla_aeroporto_origem,nome_aeroporto_origem,uf_aeroporto_origem,regiao_aeroporto_origem,sigla_aeroporto_destino,nome_aeroporto_destino,uf_aeroporto_destino,regiao_aeroporto_destino,natureza,grupo_voo,passageiros_pagos,distancia_km,assentos_total
71,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBIH,ITAITUBA,PA,NORTE,SBSN,SANTARÉM,PA,NORTE,DOMÉSTICA,REGULAR,37,1458,54
72,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBMD,ALMEIRIM,PA,NORTE,SBBE,BELÉM,PA,NORTE,DOMÉSTICA,REGULAR,56,4158,81
73,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBMD,ALMEIRIM,PA,NORTE,SBMQ,MACAPÁ,AP,NORTE,DOMÉSTICA,REGULAR,44,2000,90
74,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBMD,ALMEIRIM,PA,NORTE,SNYA,ALMEIRIM,PA,NORTE,DOMÉSTICA,REGULAR,47,726,99
75,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBMQ,MACAPÁ,AP,NORTE,SBMD,ALMEIRIM,PA,NORTE,DOMÉSTICA,REGULAR,30,2000,90
76,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBPA,PORTO ALEGRE,RS,SUL,SBBG,BAGÉ,RS,SUL,DOMÉSTICA,REGULAR,128,6741,189
77,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBPA,PORTO ALEGRE,RS,SUL,SBJD,JUNDIAÍ,SP,SUDESTE,DOMÉSTICA,REGULAR,3,866,9
78,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBPA,PORTO ALEGRE,RS,SUL,SBUG,URUGUAIANA,RS,SUL,DOMÉSTICA,REGULAR,7,1132,18
79,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBPA,PORTO ALEGRE,RS,SUL,SNEE,VACARIA,RS,SUL,DOMÉSTICA,REGULAR,50,1914,99
80,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBPA,PORTO ALEGRE,RS,SUL,SSCN,CANELA,RS,SUL,DOMÉSTICA,REGULAR,78,1386,162
81,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBPA,PORTO ALEGRE,RS,SUL,SSER,ERECHIM,RS,SUL,DOMÉSTICA,REGULAR,43,2529,81
82,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBPA,PORTO ALEGRE,RS,SUL,SSLT,ALEGRETE,RS,SUL,DOMÉSTICA,REGULAR,53,5472,108
83,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBPA,PORTO ALEGRE,RS,SUL,SSSB,SÃO BORJA,RS,SUL,DOMÉSTICA,REGULAR,24,3952,72
84,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBPA,PORTO ALEGRE,RS,SUL,SSSC,SANTA CRUZ DO SUL,RS,SUL,DOMÉSTICA,REGULAR,32,1000,72
85,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBPA,PORTO ALEGRE,RS,SUL,SSZR,SANTA ROSA,RS,SUL,DOMÉSTICA,REGULAR,52,4000,90
86,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBRF,RECIFE,PE,NORDESTE,SNHS,SERRA TALHADA,PE,NORDESTE,DOMÉSTICA,REGULAR,155,12000,288
87,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBRF,RECIFE,PE,NORDESTE,SNRU,CARUARU,PE,NORDESTE,DOMÉSTICA,REGULAR,125,3630,270
88,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBRF,RECIFE,PE,NORDESTE,SNTS,PATOS,PB,NORDESTE,DOMÉSTICA,REGULAR,128,5396,171
89,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBSN,SANTARÉM,PA,NORTE,SBBE,BELÉM,PA,NORTE,DOMÉSTICA,REGULAR,23,4970,63
90,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBSN,SANTARÉM,PA,NORTE,SNMA,MONTE ALEGRE,PA,NORTE,DOMÉSTICA,REGULAR,23,651,63
91,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBTB,ORIXIMINÁ,PA,NORTE,SNRJ,BREJO,PA,NORTE,DOMÉSTICA,REGULAR,18,510,54
