EMPRESA_SIGLA;EMPRESA_NOME;ANO;MES;AEROPORTO_DE_ORIGEM_SIGLA;AEROPORTO_DE_ORIGEM_NOME;AEROPORTO_DE_ORIGEM_UF;AEROPORTO_DE_ORIGEM_REGIAO;AEROPORTO_DE_DESTINO_SIGLA;AEROPORTO_DE_DESTINO_NOME;AEROPORTO_DE_DESTINO_UF;AEROPORTO_DE_DESTINO_REGIAO;NATUREZA;GRUPO_DE_VOO;PASSAGEIROS_PAGOS;DISTANCIA_VOADA_KM;ASSENTOS
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBTU;TUCURUÍ;PA;NORTE;SBBE;BELÉM;PA;NORTE;DOMÉSTICA;REGULAR;43;1500;45
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SDH2;PORTO ALEGRE DO NORTE;MT;CENTRO-OESTE;SBCY;VÁRZEA GRANDE;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;19;4302;54
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SDH2;PORTO ALEGRE DO NORTE;MT;CENTRO-OESTE;SWHP;ÁGUA BOA;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;8;350;9
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SNEB;PARAGOMINAS;PA;NORTE;SBBE;BELÉM;PA;NORTE;DOMÉSTICA;REGULAR;34;892;36
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SNEE;VACARIA;RS;SUL;SBPA;PORTO ALEGRE;RS;SUL;DOMÉSTICA;REGULAR;47;1740;90
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SNHS;SERRA TALHADA;PE;NORDESTE;SBRF;RECIFE;PE;NORDESTE;DOMÉSTICA;REGULAR;177;12000;288
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SNMA;MONTE ALEGRE;PA;NORTE;SNTI;ÓBIDOS;PA;NORTE;DOMÉSTICA;REGULAR;29;1127;63
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SNOX;ORIXIMINÁ;PA;NORTE;SBTB;ORIXIMINÁ;PA;NORTE;DOMÉSTICA;REGULAR;12;469;63
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SNRJ;BREJO;PA;NORTE;SBIH;ITAITUBA;PA;NORTE;DOMÉSTICA;REGULAR;17;1374;54
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SNRU;CARUARU;PE;NORDESTE;SBRF;RECIFE;PE;NORDESTE;DOMÉSTICA;REGULAR;205;3630;270
